session_path,subject_id,session_id,trial,trial_uid,id,photostim_onset,photostim_power,photostim_duration,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,start_time,stop_time,presample_start_times,presample_stop_times,sample_start_times,sample_stop_times,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,right_lick_times,photostim_start_times,photostim_stop_times,trial_time_total,trialend_start_times,trialend_stop_times
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,1,1,0,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,0.0,3.4944,0.5,1.3128,1.3128,1.9628,1.9628,3.1628,3.1628,,,3.3944,,,3.4944,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,2,2,1,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,5.7592,10.7399,6.2592,7.1361,7.1361,7.7861,7.7861,8.9861,8.9861,10.4861,"9.2149, 9.3492, 9.5217, 9.6335, 9.7623, 9.8974, 10.0296, 10.1548, 10.2786, 10.4035, 10.5333, 10.6732",,,,4.980700000000001,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,3,3,2,N/A,N/A,N/A,audio delay,1,left,early,miss,0,0,15.3907,19.1559,15.8907,16.6425,16.6425,17.2925,17.6908,18.8908,18.8908,,"16.8101, 16.9408",19.0559,,,3.7651999999999983,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,4,4,3,N/A,N/A,N/A,audio delay,1,left,early,miss,0,0,21.005,24.653,21.505,22.2935,22.2935,22.9435,23.1705,24.3705,24.3705,,22.4205,24.5530,,,3.6479999999999997,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,5,5,4,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,26.8577,31.6944,27.3577,28.0306,28.0306,28.6806,28.6806,29.8806,29.8806,31.3806,"30.1694, 30.3121, 30.4377, 30.5870, 30.7387, 30.8831, 31.0158, 31.1425, 31.2651, 31.3956, 31.5338, 31.6905",,,,4.8367,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,6,6,5,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,34.4371,37.9756,34.9371,35.7427,35.7427,36.3927,36.3927,37.5927,37.5927,,,37.8756,,,3.538499999999999,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,7,7,6,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,39.7804,43.1623,40.2804,41.0019,41.0019,41.6519,41.6519,42.8519,42.8519,,,43.0623,,,3.3819000000000017,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,8,8,7,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,45.3469,50.4085,45.8469,46.729,46.729,47.379,47.379,48.579,48.579,50.079,"48.8835, 48.9989, 49.1690, 49.2911, 49.4479, 49.6011, 49.7521, 49.8999, 50.0150, 50.1482, 50.3077",,,,5.0615999999999985,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,9,9,8,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,53.5755,58.4963,54.0755,54.8763,54.8763,55.5263,55.5263,56.7263,56.7263,58.2263,"56.9713, 57.0542, 57.2074, 57.3374, 57.4686, 57.6334, 57.7933, 57.9211, 58.0536, 58.2025, 58.3259, 58.4838",,,,4.9208,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,10,10,9,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,60.8938,65.6848,61.3938,62.1924,62.1924,62.8424,62.8424,64.0424,64.0424,65.5424,,"64.1598, 64.2752, 64.4211, 64.5405, 64.6740, 64.8802, 65.0072, 65.3290, 65.4907",,,4.790999999999997,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,11,11,10,N/A,N/A,N/A,audio delay,1,right,early,hit,0,0,67.482,73.7953,67.982,68.7964,68.7964,69.4464,69.4464,70.6867,72.1563,73.6563,,"70.5867, 70.7237, 70.8563, 72.2703, 72.4154, 72.5706, 72.6983, 72.8445, 73.0001, 73.1165, 73.2567, 73.4362, 73.5720, 73.7327",,,6.313299999999998,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,12,12,11,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,76.8397,81.5881,77.3397,78.1153,78.1153,78.7653,78.7653,79.9653,79.9653,81.4653,,"80.0631, 80.2039, 80.3370, 80.4655, 80.6351, 80.7577, 80.9102, 81.0296, 81.1825, 81.3761, 81.4905",,,4.748400000000004,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,13,13,12,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,83.7531,88.4343,84.2531,84.965,84.965,85.615,85.615,86.815,86.815,88.315,,"86.9093, 87.0321, 87.1831, 87.3316, 87.4829, 87.6202, 87.7836, 87.9336, 88.0728, 88.2192, 88.3881",,,4.68119999999999,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,14,14,13,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,90.6364,94.0677,91.1364,92.0081,92.0081,92.6581,92.6581,93.8581,93.8581,,,93.9677,,,3.4313000000000073,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,15,15,14,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,95.9233,99.221,96.4233,97.155,97.155,97.805,97.805,99.005,99.005,,,99.1210,,,3.297700000000006,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,16,16,15,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,101.0437,105.9321,101.5437,102.251,102.251,102.901,102.901,104.101,104.101,105.601,"104.4071, 104.5490, 104.7105, 104.8350, 104.9707, 105.1281, 105.3016, 105.4431, 105.5979, 105.7351, 105.8768",,,,4.888400000000004,,
