session,region,recorded,pass_floor,eligible,stable,selected,K,filled_by_score,expected_false_selections_bound,n_fit_trials,phi_SC,phi_SW,phi_SR,phi_CW,phi_CR,phi_WR,null_median_stability_max
A/Session1,ALM_L,20,19,7,6,6,16,0,6.0,92,-0.11094003924504592,0.5423261445466397,0.7745966692414828,-0.1504142093990468,-0.14322297480788654,0.42008402520840316,0.0
A/Session1,ALM_R,19,19,3,1,1,16,0,1.0,92,-0.11094003924504592,0.5423261445466397,0.7745966692414828,-0.1504142093990468,-0.14322297480788654,0.42008402520840316,0.0
A/Session1,STR_L,18,18,2,2,2,16,0,2.0,92,-0.11094003924504592,0.5423261445466397,0.7745966692414828,-0.1504142093990468,-0.14322297480788654,0.42008402520840316,0.0
A/Session1,STR_R,16,16,1,1,1,16,0,1.0,92,-0.11094003924504592,0.5423261445466397,0.7745966692414828,-0.1504142093990468,-0.14322297480788654,0.42008402520840316,0.0
A/Session2,ALM_L,16,16,4,4,4,16,0,4.0,92,0.16851808553880623,0.5163977794943231,0.9100137361600636,0.21053798026663023,0.09483106086050973,0.4699290726623898,0.0
A/Session2,ALM_R,19,19,7,6,6,16,0,6.0,92,0.16851808553880623,0.5163977794943231,0.9100137361600636,0.21053798026663023,0.09483106086050973,0.4699290726623898,0.0
A/Session2,STR_L,21,21,5,4,4,16,0,4.0,92,0.16851808553880623,0.5163977794943231,0.9100137361600636,0.21053798026663023,0.09483106086050973,0.4699290726623898,0.0
A/Session2,STR_R,21,21,5,5,5,16,0,5.0,92,0.16851808553880623,0.5163977794943231,0.9100137361600636,0.21053798026663023,0.09483106086050973,0.4699290726623898,0.0
B/sub-990000_ses-20190301T120000,ALM_L,21,20,6,6,6,16,0,6.0,92,0.19425717247145272,0.5477225575051663,0.8189230248533252,0.19506489808627483,0.1223705163690586,0.4830458915396473,0.0
B/sub-990000_ses-20190301T120000,ALM_R,19,16,5,5,5,16,0,5.0,92,0.19425717247145272,0.5477225575051663,0.8189230248533252,0.19506489808627483,0.1223705163690586,0.4830458915396473,0.0
B/sub-990000_ses-20190301T120000,STR_L,21,19,6,6,6,16,0,6.0,92,0.19425717247145272,0.5477225575051663,0.8189230248533252,0.19506489808627483,0.1223705163690586,0.4830458915396473,0.0
B/sub-990000_ses-20190301T120000,STR_R,15,14,5,5,5,16,0,5.0,92,0.19425717247145272,0.5477225575051663,0.8189230248533252,0.19506489808627483,0.1223705163690586,0.4830458915396473,0.0
B/sub-990001_ses-20190302T120000,ALM_L,15,15,6,5,5,16,0,5.0,92,0.26111648393354686,0.5222329678670935,0.8481145238787252,0.09090909090909097,0.23766082994439527,0.442913364896373,0.05
B/sub-990001_ses-20190302T120000,ALM_R,16,14,3,3,3,16,0,3.0,92,0.26111648393354686,0.5222329678670935,0.8481145238787252,0.09090909090909097,0.23766082994439527,0.442913364896373,0.05
B/sub-990001_ses-20190302T120000,STR_L,14,13,4,3,3,16,0,3.0,92,0.26111648393354686,0.5222329678670935,0.8481145238787252,0.09090909090909097,0.23766082994439527,0.442913364896373,0.05
B/sub-990001_ses-20190302T120000,STR_R,18,18,3,2,2,16,0,2.0,92,0.26111648393354686,0.5222329678670935,0.8481145238787252,0.09090909090909097,0.23766082994439527,0.442913364896373,0.05
