region,unit_id,local_index,selected,score,dprime,delay_lick_coupling,tf_selectivity,attention,prediction_gain,delay_rate_hz,preferred_class,neuron_type,reasons
right Striatum,219,50,True,3.4457198498738273,3.9624403139647555,0.08768941544169148,0.005872209928929806,0.1456522096633412,0.07043294650882787,7.894735336303711,Left,delay_choice,Choice-discriminative delay rate (d′=3.96 vs other actions; prefers Left). | SPEC-TCNN neuron attention is high (a=0.146); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.070). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left Striatum,157,44,True,3.085208370856111,4.216174045312942,0.03674249477628006,0.0068318858742713925,0.24134626269989648,0.036742494689133536,8.201754570007324,Right,delay_choice,Choice-discriminative delay rate (d′=4.22 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.241); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.037). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
right Striatum,214,45,True,2.8476435241510347,4.933260467581784,0.0,0.004436111822724343,0.38453770357930883,0.0,7.324560642242432,Left,delay_choice,Choice-discriminative delay rate (d′=4.93 vs other actions; prefers Left). | SPEC-TCNN neuron attention is high (a=0.385); the unit is used as past context. | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left Striatum,156,43,True,2.8255453712226832,3.6116536261671306,0.1065460726569839,0.004783571697771549,0.13185625554937216,0.09126936324573423,8.815789222717285,Right,delay_choice,Choice-discriminative delay rate (d′=3.61 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.132); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.091). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
right ALM,63,6,True,2.651389319327337,8.640501331510961,0.0,0.0039135335013270375,0.6726415936054762,0.0,8.377192497253418,Left,delay_choice,Choice-discriminative delay rate (d′=8.64 vs other actions; prefers Left). | SPEC-TCNN neuron attention is high (a=0.673); the unit is used as past context. | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left ALM,16,15,True,2.4311656626806077,8.728022218454338,0.011059457024363494,0.006945122592151165,0.4361719937374342,0.011059457011692288,10.48245620727539,Right,delay_choice,Choice-discriminative delay rate (d′=8.73 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.436); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.011). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
right ALM,83,26,True,2.0365862620064306,3.5606945731177166,0.3317168533088756,0.0036244152113795282,0.004184579870796922,0.13669837376777047,8.684210777282715,Left,delay_choice,Choice-discriminative delay rate (d′=3.56 vs other actions; prefers Left). | Delay PSTH shape predicts this unit’s lick-period PSTH (r=0.33). | SPEC-TCNN neuron attention is high (a=0.004); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.137). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left ALM,23,22,True,2.0314001991905073,5.967609479481521,0.18541247822121226,0.008492342382669448,0.027594693141406935,0.1267720423623602,10.35087776184082,Right,delay_choice,Choice-discriminative delay rate (d′=5.97 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.028); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.127). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left Striatum,130,17,True,2.0228860163849816,2.295313077659149,0.147873271736888,0.009315835684537888,0.03535259050332842,0.08050318838276324,9.429823875427246,Right,delay_choice,Choice-discriminative delay rate (d′=2.30 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.035); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.081). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
left Striatum,118,5,True,1.959404267484003,2.645254129608681,0.11880501787301488,0.007421290501952171,0.050164754898860096,0.07453901444536987,8.1578950881958,Right,delay_choice,Choice-discriminative delay rate (d′=2.65 vs other actions; prefers Right). | SPEC-TCNN neuron attention is high (a=0.050); the unit is used as past context. | Occluding this unit raises lick-raster prediction error (ΔMSE gain=0.075). | Ground-truth type: persistent delay-choice cell — the ALM preparatory motif of Li/Inagaki/Svoboda.
