region,unit_id,local_index,selected,score,dprime,delay_lick_coupling,tf_selectivity,attention,prediction_gain,delay_rate_hz,preferred_class,neuron_type,reasons
right ALM,0,0,True,1.6054052111634391,5.045740082984941,0.1868744640843222,0.002518210653215647,0.04117321968078613,0.0,9.192708015441895,Left,,Choice-discriminative delay rate (d′=5.05 vs other actions; prefers Left). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.041); the unit is used as past context.
right ALM,2,2,True,1.5105250885821353,5.462288420912921,0.0,0.002004501689225435,0.05285337194800377,0.0,8.906250953674316,Left,,Choice-discriminative delay rate (d′=5.46 vs other actions; prefers Left). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.053); the unit is used as past context.
right ALM,1,1,True,1.4048543291693973,4.78619216019586,0.07006166270979282,0.0018328623846173286,0.049101006239652634,0.0,8.819446563720703,Left,,Choice-discriminative delay rate (d′=4.79 vs other actions; prefers Left). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.049); the unit is used as past context.
right ALM,3,3,True,1.2085430466432159,4.88506369726289,0.0,0.002157443575561047,0.04630153253674507,0.0,9.079859733581543,Left,,Choice-discriminative delay rate (d′=4.89 vs other actions; prefers Left). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.046); the unit is used as past context.
right Striatum,16,16,True,0.9737240184023581,0.46637888819572887,0.07297880158946267,0.0011531362775713204,0.03854243829846382,0.0,2.786458730697632,Left,,Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.039); the unit is used as past context.
left ALM,1,1,True,0.913351511341953,5.305269350290974,0.17739381616830888,0.006004977785050869,0.013713533990085125,0.0,9.010414123535156,Right,,Choice-discriminative delay rate (d′=5.31 vs other actions; prefers Right). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.01). | SPEC-TCNN neuron attention is high (a=0.014); the unit is used as past context.
left Striatum,20,20,True,0.7782476547305385,0.30036163162792634,0.10514285543847121,0.0013392563443630934,0.03734224662184715,0.0,2.6475698947906494,Right,,Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.037); the unit is used as past context.
right Striatum,1,1,True,0.6554859461706048,0.4203051003627879,0.03180628117807169,0.0008237610571086407,0.03904257342219353,0.0,2.3958332538604736,Left,,Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.039); the unit is used as past context.
right Striatum,9,9,True,0.6050445666523041,0.6172929330165295,0.08003276272133864,0.0008705548010766506,0.031816694885492325,0.0,2.9774303436279297,Left,,Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.032); the unit is used as past context.
left ALM,8,8,True,0.5849730397700738,1.072138131586902,0.12961942009527172,0.0038803202100098134,0.034137919545173645,0.0,4.496528148651123,Right,,Choice-discriminative delay rate (d′=1.07 vs other actions; prefers Right). | Delay-period β/low-γ wavelet power is class-modulated (TF score=0.00). | SPEC-TCNN neuron attention is high (a=0.034); the unit is used as past context.
